"gender","yb","province","db","mb","educ"
"FEMALE","1947","Opolskie","27","9","VOCATIONAL"
"MALE","1948","Opolskie","24","4","VOCATIONAL"
"MALE","1951","Opolskie","3","6","SECONDARY VOCATIONAL"
"FEMALE","1932","Podkarpackie","26","2","SECONDARY GENERAL"
"MALE","1952","Malopolskie","24","8","VOCATIONAL"
"FEMALE","1987","Podkarpackie","27","6","SECONDARY GENERAL"
"FEMALE","1989","Podkarpackie","20","2","SECONDARY VOCATIONAL"
"MALE","1990","Podkarpackie","30","6","SECONDARY GENERAL"
"FEMALE","1953","Podkarpackie","1","1","VOCATIONAL"
"FEMALE","1945","Podkarpackie","17","7","PRIMARY COMPLETED"
"MALE","1959","Podkarpackie","2","7","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1970","Podkarpackie","11","10","SECONDARY VOCATIONAL"
"FEMALE","1970","Podkarpackie","22","5","SECONDARY GENERAL"
"FEMALE","1939","Podkarpackie","4","1","PRIMARY COMPLETED"
"MALE","1952","Podkarpackie","10","6","HIGHER WITH ENGINEERING OR BACHELOR`S DEGREE"
"MALE","1942","Podkarpackie","7","7","SECONDARY GENERAL"
"MALE","1962","Podkarpackie","28","12","PRIMARY COMPLETED"
"FEMALE","1989","Podkarpackie","10","12","SECONDARY GENERAL"
"FEMALE","1991","Podkarpackie","17","5","PRIMARY COMPLETED"
"FEMALE","1966","Podkarpackie","16","9","SECONDARY VOCATIONAL"
"FEMALE","1935","Podkarpackie","25","9","POST-SECONDARY"
"MALE","1988","Podkarpackie","5","2","GRAMMAR"
"FEMALE","1983","Podkarpackie","25","2","SECONDARY VOCATIONAL"
"MALE","1963","Podkarpackie","2","5","PRIMARY COMPLETED"
"FEMALE","1967","Podkarpackie","21","7","SECONDARY VOCATIONAL"
"FEMALE","1949","Podkarpackie","9","8","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1948","Podkarpackie","10","2","SECONDARY VOCATIONAL"
"MALE","1970","Podkarpackie","30","4","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1988","Podkarpackie","10","10","VOCATIONAL"
"FEMALE","1973","Podlaskie","31","1","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1985","Podlaskie","1","6","HIGHER WITH ENGINEERING OR BACHELOR`S DEGREE"
"MALE","1988","Podlaskie","12","6","HIGHER WITH ENGINEERING OR BACHELOR`S DEGREE"
"FEMALE","1960","Podlaskie","11","10","POST-SECONDARY"
"MALE","1974","Podlaskie","6","10","VOCATIONAL"
"FEMALE","1952","Podlaskie","16","11","PRIMARY COMPLETED"
"MALE","1976","Podlaskie","14","10","VOCATIONAL"
"FEMALE","1983","Podlaskie","16","7","POST-SECONDARY"
"MALE","1948","Podlaskie","28","10","SECONDARY VOCATIONAL"
"MALE","1961","Podlaskie","3","7","VOCATIONAL"
"FEMALE","1963","Podlaskie","8","5","VOCATIONAL"
"MALE","1971","Podlaskie","25","3","SECONDARY VOCATIONAL"
"MALE","1956","Podlaskie","9","11","VOCATIONAL"
"MALE","1927","Podlaskie","6","12","NO EDUCATION/PRIMARY NOT COMPLETED"
"FEMALE","1929","Podlaskie","23","2","PRIMARY COMPLETED"
"MALE","1952","Podlaskie","16","10","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1960","Podlaskie","19","6","SECONDARY VOCATIONAL"
"FEMALE","1993","Pomorskie","28","9","VOCATIONAL"
"MALE","1958","Pomorskie","26","12","VOCATIONAL"
"FEMALE","1963","Pomorskie","23","8","PRIMARY COMPLETED"
"FEMALE","1948","Pomorskie","20","6","VOCATIONAL"
"FEMALE","1967","Pomorskie","21","2","VOCATIONAL"
"MALE","1944","Pomorskie","22","7","SECONDARY VOCATIONAL"
"FEMALE","1957","Pomorskie","6","4","SECONDARY VOCATIONAL"
"FEMALE","1959","Pomorskie","6","6","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"FEMALE","1992","Pomorskie","28","11","GRAMMAR"
"MALE","1960","Pomorskie","22","3","VOCATIONAL"
"FEMALE","1959","Pomorskie","8","1","SECONDARY VOCATIONAL"
"MALE","1969","Pomorskie","24","1","VOCATIONAL"
"FEMALE","1922","Pomorskie","17","4","PRIMARY COMPLETED"
"FEMALE","1969","Pomorskie","29","4","SECONDARY VOCATIONAL"
"MALE","1956","Pomorskie","18","6","VOCATIONAL"
"FEMALE","1958","Pomorskie","16","10","SECONDARY GENERAL"
"MALE","1987","Pomorskie","13","8","VOCATIONAL"
"MALE","1967","Pomorskie","26","2","VOCATIONAL"
"MALE","1975","Pomorskie","25","11","VOCATIONAL"
"FEMALE","1974","Pomorskie","20","10","VOCATIONAL"
"FEMALE","1976","Pomorskie","24","5","SECONDARY VOCATIONAL"
"FEMALE","1945","Pomorskie","18","7","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1951","Pomorskie","27","4","PRIMARY COMPLETED"
"MALE","1954","Pomorskie","5","6","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"FEMALE","1961","Pomorskie","13","6","VOCATIONAL"
"FEMALE","1962","Slaskie","24","9","VOCATIONAL"
"MALE","1941","Slaskie","27","5","SECONDARY VOCATIONAL"
"FEMALE","1962","Slaskie","11","12","SECONDARY VOCATIONAL"
"MALE","1985","Slaskie","14","11","VOCATIONAL"
"FEMALE","1929","Slaskie","15","6","PRIMARY COMPLETED"
"FEMALE","1960","Slaskie","2","10","VOCATIONAL"
"FEMALE","1969","Slaskie","22","7","VOCATIONAL"
"FEMALE","1972","Slaskie","19","12","VOCATIONAL"
"MALE","1965","Slaskie","9","2","SECONDARY VOCATIONAL"
"FEMALE","1969","Slaskie","25","2","SECONDARY GENERAL"
"FEMALE","1955","Slaskie","6","7","SECONDARY VOCATIONAL"
"MALE","1959","Slaskie","16","9","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"FEMALE","1940","Slaskie","6","1","PRIMARY COMPLETED"
"FEMALE","1949","Slaskie","19","4","SECONDARY VOCATIONAL"
"FEMALE","1951","Slaskie","20","9","VOCATIONAL"
"FEMALE","1937","Swietokrzyskie","24","9","POST-SECONDARY"
"FEMALE","1993","Swietokrzyskie","3","8","GRAMMAR"
"MALE","1949","Swietokrzyskie","1","4","SECONDARY VOCATIONAL"
"MALE","1957","Swietokrzyskie","29","9","VOCATIONAL"
"MALE","1985","Swietokrzyskie","8","6","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1989","Swietokrzyskie","21","6","SECONDARY GENERAL"
"MALE","1976","Swietokrzyskie","17","12","SECONDARY GENERAL"
"MALE","1957","Swietokrzyskie","2","7","VOCATIONAL"
"MALE","1994","Swietokrzyskie","19","5","GRAMMAR"
"FEMALE","1926","Swietokrzyskie","4","6","PRIMARY COMPLETED"
"FEMALE","1983","Swietokrzyskie","24","7","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1991","Swietokrzyskie","28","10","GRAMMAR"
"MALE","1957","Swietokrzyskie","12","9","VOCATIONAL"
"MALE","1987","Swietokrzyskie","25","5","SECONDARY VOCATIONAL"
"FEMALE","1929","Swietokrzyskie","1","3","NO EDUCATION/PRIMARY NOT COMPLETED"
"MALE","1966","Swietokrzyskie","27","6","VOCATIONAL"
"MALE","1960","Warminsko-mazurskie","13","12","VOCATIONAL"
"FEMALE","1992","Warminsko-mazurskie","30","11","GRAMMAR"
"MALE","1986","Warminsko-mazurskie","1","12","PRIMARY COMPLETED"
"MALE","1965","Warminsko-mazurskie","21","11","VOCATIONAL"
"MALE","1975","Warminsko-mazurskie","23","12","PRIMARY COMPLETED"
"MALE","1961","Warminsko-mazurskie","5","1","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1959","Warminsko-mazurskie","18","5","HIGHER WITH ENGINEERING OR BACHELOR`S DEGREE"
"FEMALE","1981","Warminsko-mazurskie","25","11","VOCATIONAL"
"FEMALE","1956","Warminsko-mazurskie","24","10","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1967","Wielkopolskie","19","8","SECONDARY VOCATIONAL"
"MALE","1942","Wielkopolskie","26","10","VOCATIONAL"
"FEMALE","1969","Wielkopolskie","27","9","PRIMARY COMPLETED"
"FEMALE","1987","Wielkopolskie","1","1","HIGHER WITH ENGINEERING OR BACHELOR`S DEGREE"
"MALE","1946","Wielkopolskie","30","5","VOCATIONAL"
"FEMALE","1946","Wielkopolskie","20","12","SECONDARY GENERAL"
"MALE","1934","Wielkopolskie","20","5","PRIMARY COMPLETED"
"FEMALE","1953","Wielkopolskie","7","12","SECONDARY GENERAL"
"MALE","1945","Wielkopolskie","5","1","SECONDARY VOCATIONAL"
"MALE","1953","Wielkopolskie","3","2","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"FEMALE","1986","Wielkopolskie","28","12","HIGHER WITH ENGINEERING OR BACHELOR`S DEGREE"
"MALE","1989","Wielkopolskie","3","1","VOCATIONAL"
"FEMALE","1963","Wielkopolskie","24","6","SECONDARY VOCATIONAL"
"FEMALE","1984","Wielkopolskie","28","2","HIGHER WITH ENGINEERING OR BACHELOR`S DEGREE"
"FEMALE","1986","Wielkopolskie","23","6","SECONDARY VOCATIONAL"
"MALE","1948","Wielkopolskie","18","12","SECONDARY VOCATIONAL"
"MALE","1984","Wielkopolskie","3","5","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"FEMALE","1982","Wielkopolskie","12","1","HIGHER WITH ENGINEERING OR BACHELOR`S DEGREE"
"MALE","1972","Wielkopolskie","18","5","SECONDARY VOCATIONAL"
"FEMALE","1939","Wielkopolskie","17","8","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1989","Wielkopolskie","10","11","VOCATIONAL"
"FEMALE","1948","Wielkopolskie","9","8","SECONDARY VOCATIONAL"
"MALE","1967","Wielkopolskie","19","4","VOCATIONAL"
"MALE","1993","Zachodnio-pomorskie","14","7","GRAMMAR"
"MALE","1958","Zachodnio-pomorskie","14","8","VOCATIONAL"
"FEMALE","1964","Zachodnio-pomorskie","6","1","VOCATIONAL"
"MALE","1956","Zachodnio-pomorskie","8","6","VOCATIONAL"
"FEMALE","1939","Zachodnio-pomorskie","22","7","POST-SECONDARY"
"MALE","1989","Zachodnio-pomorskie","18","7","SECONDARY VOCATIONAL"
"MALE","1987","Zachodnio-pomorskie","1","12","SECONDARY VOCATIONAL"
"MALE","1948","Zachodnio-pomorskie","8","9","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1954","Zachodnio-pomorskie","5","3","PRIMARY COMPLETED"
"FEMALE","1957","Zachodnio-pomorskie","26","5","VOCATIONAL"
"FEMALE","1955","Zachodnio-pomorskie","8","10","PRIMARY COMPLETED"
"FEMALE","1927","Zachodnio-pomorskie","3","6","SECONDARY GENERAL"
"MALE","1958","Zachodnio-pomorskie","13","7","VOCATIONAL"
"MALE","1987","Zachodnio-pomorskie","8","12","SECONDARY GENERAL"
"MALE","1954","Dolnoslaskie","7","4","VOCATIONAL"
"MALE","1976","Dolnoslaskie","8","4","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1955","Dolnoslaskie","18","11","SECONDARY VOCATIONAL"
"MALE","1939","Dolnoslaskie","27","1","VOCATIONAL"
"MALE","1956","Dolnoslaskie","20","3","VOCATIONAL"
"FEMALE","1936","Dolnoslaskie","20","1","PRIMARY COMPLETED"
"MALE","1960","Dolnoslaskie","6","8","SECONDARY VOCATIONAL"
"FEMALE","1963","Dolnoslaskie","12","9","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1956","Dolnoslaskie","24","1","SECONDARY VOCATIONAL"
"FEMALE","1993","Dolnoslaskie","29","9","GRAMMAR"
"MALE","1986","Dolnoslaskie","10","12","HIGHER WITH ENGINEERING OR BACHELOR`S DEGREE"
"FEMALE","1953","Kujawsko-pomorskie","10","11","PRIMARY COMPLETED"
"FEMALE","1978","Kujawsko-pomorskie","25","6","PRIMARY COMPLETED"
"FEMALE","1942","Kujawsko-pomorskie","21","3","SECONDARY VOCATIONAL"
"MALE","1972","Kujawsko-pomorskie","29","10","VOCATIONAL"
"MALE","1940","Kujawsko-pomorskie","10","5","PRIMARY COMPLETED"
"MALE","1969","Kujawsko-pomorskie","3","4","PRIMARY COMPLETED"
"FEMALE","1954","Lodzkie","27","7","PRIMARY COMPLETED"
"MALE","1950","Lodzkie","24","7","VOCATIONAL"
"MALE","1991","Lodzkie","10","4","GRAMMAR"
"MALE","1958","Lodzkie","25","11","VOCATIONAL"
"FEMALE","1986","Lodzkie","3","3","SECONDARY GENERAL"
"MALE","1930","Lodzkie","19","7","PRIMARY COMPLETED"
"MALE","1987","Lodzkie","24","9","HIGHER WITH ENGINEERING OR BACHELOR`S DEGREE"
"FEMALE","1943","Lodzkie","22","6","VOCATIONAL"
"MALE","1929","Lubuskie","5","4","SECONDARY GENERAL"
"FEMALE","1939","Lubuskie","17","2","PRIMARY COMPLETED"
"MALE","1973","Lubuskie","16","9","VOCATIONAL"
"FEMALE","1993","Lubuskie","2","7","GRAMMAR"
"MALE","1938","Lubuskie","28","1","PRIMARY COMPLETED"
"MALE","1964","Lubuskie","8","3","VOCATIONAL"
"FEMALE","1987","Malopolskie","28","2","SECONDARY GENERAL"
"FEMALE","1964","Malopolskie","14","4","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1988","Malopolskie","17","3","GRAMMAR"
"MALE","1929","Malopolskie","6","1","HIGHER WITH ENGINEERING OR BACHELOR`S DEGREE"
"MALE","1946","Malopolskie","10","12","SECONDARY VOCATIONAL"
"FEMALE","1929","Malopolskie","10","12","PRIMARY COMPLETED"
"FEMALE","1956","Malopolskie","14","4","SECONDARY VOCATIONAL"
"MALE","1961","Malopolskie","1","9","VOCATIONAL"
"FEMALE","1954","Malopolskie","15","6","VOCATIONAL"
"FEMALE","1929","Malopolskie","17","2","PRIMARY COMPLETED"
"MALE","1985","Malopolskie","23","9","VOCATIONAL"
"FEMALE","1989","Mazowieckie","13","3","SECONDARY GENERAL"
"MALE","1975","Mazowieckie","22","6","SECONDARY GENERAL"
"MALE","1979","Mazowieckie","3","8","VOCATIONAL"
"MALE","1927","Mazowieckie","2","1","POST-SECONDARY"
"FEMALE","1936","Mazowieckie","3","10","SECONDARY VOCATIONAL"
"FEMALE","1947","Mazowieckie","6","4","SECONDARY GENERAL"
"MALE","1964","Mazowieckie","17","10","SECONDARY VOCATIONAL"
"FEMALE","1952","Mazowieckie","1","3","VOCATIONAL"
"FEMALE","1971","Mazowieckie","13","1","VOCATIONAL"
"MALE","1969","Mazowieckie","27","1","VOCATIONAL"
"MALE","1994","Mazowieckie","25","9","GRAMMAR"
"FEMALE","1989","Mazowieckie","24","5","SECONDARY VOCATIONAL"
"MALE","1955","Mazowieckie","8","4","VOCATIONAL"
"FEMALE","1965","Mazowieckie","3","7","VOCATIONAL"
"MALE","1989","Opolskie","1","8","SECONDARY VOCATIONAL"
"FEMALE","1978","Opolskie","30","11","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"FEMALE","1966","Opolskie","1","1","VOCATIONAL"
"MALE","1941","Opolskie","3","5","SECONDARY VOCATIONAL"
"FEMALE","1931","Opolskie","19","2","NO EDUCATION/PRIMARY NOT COMPLETED"
"FEMALE","1957","Opolskie","11","8","POST-SECONDARY"
"FEMALE","1963","Podkarpackie","5","5","SECONDARY VOCATIONAL"
"FEMALE","1990","Podkarpackie","4","8","SECONDARY GENERAL"
"MALE","1941","Podkarpackie","10","9","PRIMARY COMPLETED"
"MALE","1958","Podkarpackie","15","6","VOCATIONAL"
"FEMALE","1970","Podkarpackie","21","3","VOCATIONAL"
"MALE","1959","Podlaskie","5","4","PRIMARY COMPLETED"
"FEMALE","1956","Podlaskie","28","3","SECONDARY VOCATIONAL"
"FEMALE","1953","Podlaskie","30","6","POST-SECONDARY"
"FEMALE","1963","Pomorskie","6","11","VOCATIONAL"
"FEMALE","1985","Pomorskie","9","4","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"FEMALE","1989","Pomorskie","26","7","SECONDARY GENERAL"
"MALE","1956","Pomorskie","8","12","VOCATIONAL"
"FEMALE","1965","Pomorskie","27","7","VOCATIONAL"
"FEMALE","1956","Pomorskie","20","4","HIGHER WITH ENGINEERING OR BACHELOR`S DEGREE"
"MALE","1963","Pomorskie","22","3","SECONDARY VOCATIONAL"
"FEMALE","1965","Pomorskie","21","4","VOCATIONAL"
"FEMALE","1988","Slaskie","16","5","SECONDARY GENERAL"
"MALE","1957","Slaskie","4","1","SECONDARY GENERAL"
"MALE","1985","Slaskie","17","4","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1986","Slaskie","26","1","POST-SECONDARY"
"FEMALE","1958","Slaskie","8","6","SECONDARY VOCATIONAL"
"FEMALE","1964","Slaskie","28","2","SECONDARY VOCATIONAL"
"FEMALE","1968","Slaskie","23","6","VOCATIONAL"
"MALE","1985","Slaskie","8","3","SECONDARY GENERAL"
"FEMALE","1938","Slaskie","31","5","VOCATIONAL"
"MALE","1935","Slaskie","18","12","VOCATIONAL"
"MALE","1940","Slaskie","5","4","VOCATIONAL"
"MALE","1953","Slaskie","27","1","VOCATIONAL"
"FEMALE","1962","Slaskie","28","7","VOCATIONAL"
"MALE","1945","Slaskie","8","8","VOCATIONAL"
"FEMALE","1964","Slaskie","3","8","SECONDARY VOCATIONAL"
"FEMALE","1941","Slaskie","21","8","SECONDARY VOCATIONAL"
"MALE","1971","Slaskie","11","7","VOCATIONAL"
"MALE","1964","Swietokrzyskie","10","11","VOCATIONAL"
"FEMALE","1988","Swietokrzyskie","10","4","SECONDARY VOCATIONAL"
"FEMALE","1964","Swietokrzyskie","10","6","SECONDARY VOCATIONAL"
"MALE","1990","Warminsko-mazurskie","12","6","SECONDARY VOCATIONAL"
"MALE","1955","Warminsko-mazurskie","11","2","PRIMARY COMPLETED"
"MALE","1982","Warminsko-mazurskie","30","5","PRIMARY COMPLETED"
"MALE","1994","Warminsko-mazurskie","28","7","PRIMARY COMPLETED"
"FEMALE","1970","Warminsko-mazurskie","16","7","PRIMARY COMPLETED"
"MALE","1944","Warminsko-mazurskie","26","4","VOCATIONAL"
"FEMALE","1975","Warminsko-mazurskie","27","6","POST-SECONDARY"
"FEMALE","1991","Warminsko-mazurskie","19","4","GRAMMAR"
"FEMALE","1952","Wielkopolskie","17","5","SECONDARY VOCATIONAL"
"MALE","1964","Wielkopolskie","12","11","VOCATIONAL"
"MALE","1982","Wielkopolskie","12","8","HIGHER WITH ENGINEERING OR BACHELOR`S DEGREE"
"FEMALE","1958","Wielkopolskie","22","1","HIGHER WITH ENGINEERING OR BACHELOR`S DEGREE"
"FEMALE","1992","Zachodnio-pomorskie","23","10","GRAMMAR"
"MALE","1935","Zachodnio-pomorskie","25","10","SECONDARY GENERAL"
"MALE","1954","Zachodnio-pomorskie","6","11","VOCATIONAL"
"FEMALE","1953","Zachodnio-pomorskie","3","7","VOCATIONAL"
"MALE","1980","Zachodnio-pomorskie","23","2","PRIMARY COMPLETED"
"FEMALE","1966","Zachodnio-pomorskie","2","6","VOCATIONAL"
"FEMALE","1988","Zachodnio-pomorskie","5","7","SECONDARY GENERAL"
"MALE","1948","Dolnoslaskie","31","3","SECONDARY VOCATIONAL"
"FEMALE","1965","Dolnoslaskie","23","6","VOCATIONAL"
"MALE","1979","Dolnoslaskie","24","5","VOCATIONAL"
"MALE","1952","Dolnoslaskie","8","1","SECONDARY GENERAL"
"FEMALE","1956","Lodzkie","5","3","VOCATIONAL"
